"NAME","DESCRIPTION","FORMULA"
"m7mpdol_L[r]","(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog","C1720H2828N20O570P20"
"m7mpdol_U[r]","(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog","C1665H2740N20O570P20"
"2c23dh56dhoxin[c]","2-Carboxy-2,3-dihydro-5,6-dihydroxyindole","C9H8NO4"
"dopaqn[c]","L-dopaquinone","C9H9NO4"
"dopasf[c]","dopamine 3-O-sulfate","C8H11NO5S"
"dopasf[e]","dopamine 3-O-sulfate","C8H11NO5S"
"dopa[e]","dopaminium(1+)","C8H12NO2"
"orn_D[x]","D-ornithinium(1+)","C5H13N2O2"
"5a2opntn[x]","5-amino-2-oxopentanoic acid","C5H9NO3"
"dpcoa[c]","Dephospho-CoA","C21H33N7O13P2S"
"dpcoa[l]","Dephospho-CoA","C21H33N7O13P2S"
"23dpg[c]","2,3-bisphosphonato-D-glycerate(5-)","C3H3O10P2"
"5dpmev[x]","(R)-5-Diphosphomevalonate","C6H10O10P2"
"pi[x]","hydrogenphosphate","HO4P"
"frdp[c]","Farnesyl diphosphate","C15H25O7P2"
"pro_D[x]","D-proline","C5H9NO2"
"1p2cbxl[x]","1-pyrroline-2-carboxylate","C5H6NO2"
"2dr5p[c]","2-deoxy-D-ribose 5-phosphate(2-)","C5H9O7P"
"drib[e]","2-deoxy-D-ribose","C5H10O4"
"g3p[c]","Glyceraldehyde 3-phosphate","C3H5O6P"
"dtdp[n]","dTDP","C10H13N2O11P2"
"dtmp[c]","dTMP","C10H13N2O8P"
"dudp[n]","dUDP","C9H11N2O11P2"
"dump[n]","dUMP","C9H11N2O8P"
"thym[c]","Thymine","C5H6N2O2"
"duri[m]","Deoxyuridine","C9H12N2O5"
"dump[m]","dUMP","C9H11N2O8P"
"duri[e]","Deoxyuridine","C9H12N2O5"
"dutp[n]","dUTP","C9H11N2O14P3"
"eaflatoxin[e]","aflatoxin B1 exo-8,9-epoxide","C17H12O7"
"eaflatoxin[c]","aflatoxin B1 exo-8,9-epoxide","C17H12O7"
"ebastineoh[e]","hydroxylated ebastine","C32H39NO3"
"ebastineoh[c]","hydroxylated ebastine","C32H39NO3"
"ebastineoh[r]","hydroxylated ebastine","C32H39NO3"
"ebastine[e]","ebastine","C32H39NO2"
"ebastine[c]","ebastine","C32H39NO2"
"ebastine[r]","ebastine","C32H39NO2"
"ecgon[r]","ecgonine","C9H14NO3"
"pecgon[r]","pseudoecgonine","C9H14NO3"
"3hbcoa[m]","(S)-3-hydroxybutanoyl-CoA(4-)","C25H38N7O18P3S"
"3hbcoa[x]","(S)-3-hydroxybutanoyl-CoA(4-)","C25H38N7O18P3S"
"b2coa[x]","crotonoyl-CoA(4-)","C25H36N7O17P3S"
"3hmbcoa[m]","(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)","C26H40N7O18P3S"
"meoh[r]","methanol","CH4O1"
"e4hglu[c]","erythro-4-hydroxy-L-glutamate(1-)","C5H8NO5"
"4h2oglt[c]","4-hydroxy-2-oxoglutarate(2-)","C5H4O6"
"eicostetcrn[c]","Eicosatetranoyl carnitine","C27H45NO4"
"eicostetcrn[m]","Eicosatetranoyl carnitine","C27H45NO4"
"eicostetcoa[m]","eicosatetranoyl coenzyme A","C41H62N7O17P3S"
"eicostet[e]","eicosatetranoic acid","C20H31O2"
"eicostet[c]","eicosatetranoic acid","C20H31O2"
"elaidcrn[c]","Elaidic carnitine","C25H47NO4"
"elaidcrn[m]","Elaidic carnitine","C25H47NO4"
"od2coa[m]","trans-Octadec-2-enoyl-CoA","C39H64N7O17P3S"
"elaid[e]","elaidate","C18H33O2"
"elaid[c]","elaidate","C18H33O2"
"s2l2n2m2m[c]","de-Fuc form of PA6 (w/o peptide linkage)","C84H136N6O62"
"s2l2n2m2mn[c]","de-Fuc, reducing GlcNAc removed form of PA6 (w/o peptide linkage)","C76H123N5O57"
"n2m2nm[c]","n2m2nmasn (w/o peptide linkage)","C58H97N5O41"
"n2m2nmn[c]","reducing GlcNAc removed form of n2m2nmasn (w/o peptide)","C50H84N4O36"
"n2m2nm[l]","n2m2nmasn (w/o peptide linkage)","C58H97N5O41"
"ksi_deg2[l]","keratan sulfate I, degradation product 2","C241H384N17O210S12"
"ksi_deg3[l]","keratan sulfate I, degradation product 3","C233H371N16O205S12"
"s2l2n2m2m[l]","de-Fuc form of PA6 (w/o peptide linkage)","C84H136N6O62"
"s2l2n2m2mn[l]","de-Fuc, reducing GlcNAc removed form of PA6 (w/o peptide linkage)","C76H123N5O57"
"g1m8masn[g]","(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","C76H127N2O60X"
"glc1man[g]","glucose-1,3-mannose oligosaccharide","C12H22O11"
"m7masnA[g]","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)","C64H107N2O50X"
"g2m8masn[g]","(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","C82H137N2O65X"
"glc2man[g]","(2)[glucose-1,3]-mannose oligosaccharide","C18H32O16"
"g3m8masn[g]","(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","C88H147N2O70X"
"glc3man[g]","glucose-1,2-(2)[glucose-1,3]-mannose oligosaccharide","C24H42O21"
"g1m7masnC[g]","glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)","C70H117N2O55X"
"m6masnC[g]","(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","C58H97N2O45X"
"g1m7masnB[g]","glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)","C70H117N2O55X"
"m6masnB2[g]","(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","C58H97N2O45X"
"g1m6masnB1[g]","glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","C64H107N2O50X"
"m5masnB1[g]","(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","C52H87N2O40X"
"2pg[c]","D-Glycerate 2-phosphate","C3H4O7P"
"2ameph[c]","(2-Aminoethyl)phosphonate","C2H7NO3P"
"cmp2amep[c]","CMP-2-aminoethylphosphonate","C11H19N4O10P2"
"estradiolglc[e]","17beta-estradiol 3-glucosiduronic acid","C24H32O8"
"estradiolglc[c]","17beta-estradiol 3-glucosiduronic acid","C24H32O8"
"estradiolglc[r]","17beta-estradiol 3-glucosiduronic acid","C24H32O8"
"estradiol[e]","estradiol","C18H24O2"
"estradiol[c]","estradiol","C18H24O2"
"estradiol[r]","estradiol","C18H24O2"
"estriolglc[c]","16-Glucuronide-estriol","C24H32O9"
"estriolglc[e]","16-Glucuronide-estriol","C24H32O9"
"estriolglc[r]","16-Glucuronide-estriol","C24H32O9"
"estriol[r]","estriol","C18H24O3"
"estriol[c]","estriol","C18H24O3"
"estroneglc[c]","estrone 3-glucosiduronic acid","C24H30O8"
"estroneglc[e]","estrone 3-glucosiduronic acid","C24H30O8"
"estroneglc[r]","estrone 3-glucosiduronic acid","C24H30O8"
"estrones[e]","estrone 3-sulfate(1-)","C18H21O5S"
"estrones[c]","estrone 3-sulfate(1-)","C18H21O5S"
"estrone[r]","estrone","C18H22O2"
"estrone[c]","estrone","C18H22O2"
"etfox[m]","Electron transfer flavoprotein oxidized","R"
"etfrd[m]","Electron transfer flavoprotein reduced","RH2"
"etha[c]","etha[c]","C2H8NO"
"ethamp[c]","O-phosphonatoethanaminium(1-)","C2H7NO4P"
"etoh[e]","ethanol","C2H6O"
"10fthf[e]","10-Formyltetrahydrofolate","C20H21N7O7"
"10fthf5glu[e]","10-formyltetrahydrofolate-[Glu](5)","C40H45N11O19"
"10fthf6glu[e]","10-formyltetrahydrofolate-[Glu](6)","C45H51N12O22"
"10fthf7glu[e]","10-formyltetrahydrofolate-[Glu](7)","C50H57N13O25"
"11_cis_retfa[e]","fatty acid 11-cis-retinol","C20H29OFULLR2CO"
"13_cis_retnglc[e]","13-cis-retinoyl glucuronide","C26H35O8"
"1glyc_hs[e]","1 acyl phosphoglycerol","C6H13O7PFULLRCO2"
"4hphac[e]","4-hydroxyphenylacetate","C8H7O3"
"5dhf[e]","pentaglutamyl folate (DHF)","C39H43N11O18"
"5thf[e]","pentaglutamyl folate (THF)","C39H45N11O18"
"6dhf[e]","hexaglutamyl folate (DHF)","C44H49N12O21"
"6thf[e]","hexaglutamyl folate  (THF)","C44H51N12O21"
"7dhf[e]","heptaglutamyl folate (DHF)","C49H55N13O24"
"7thf[e]","heptaglutamyl folate (THF)","C49H57N13O24"
"9_cis_retfa[e]","fatty acid 9-cis-retinol","C20H29OFULLR2CO"
"adprbp[e]","ADP-D-ribose 2'-phosphate(4-)","C15H20N5O17P3"
"cmp[e]","CMP","C9H12N3O8P"
"dhf[e]","7,8-Dihydrofolate","C19H19N7O6"
"fe2[e]","Fe2+","Fe"
"fe3[e]","Fe3+","Fe"
"fol[e]","Folate","C19H18N7O6"
"fru[e]","D-Fructose","C6H12O6"
"fuc13galacglcgal14acglcgalgluside_hs[e]","III3Fuc-nLc6Cer","C64H112N3O36FULLRCO"
"fuc14galacglcgalgluside_hs[e]","Lea glycolipid","C50H89N2O26FULLRCO"
"fucacgalfucgalacglcgalgluside_hs[e]","(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1","C64H112N3O35FULLRCO"
"fucacngal14acglcgalgluside_hs[e]","IV3-a-NeuAc,III3-a-Fuc-nLc4Cer","C61H105N3O34FULLRCO"
"fucacngalacglcgalgluside_hs[e]","IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer","C61H105N3O34FULLRCO"
"fucfuc12gal14acglcgalgluside_hs[e]","Ley glycolipid","C56H99N2O30FULLRCO"
"fucfuc132galacglcgal14acglcgalgluside_hs[e]","V3Fuc,III3Fuc-nLc6Cer","C70H122N3O40FULLRCO"
"fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e]","(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1","C90H155N4O54FULLRCO"
"fucfucfucgalacglcgal14acglcgalgluside_hs[e]","(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1","C76H132N3O44FULLRCO"
"fucfucgalacglcgalgluside_hs[e]","Leb glycolipid","C56H99N2O30FULLRCO"
"fucgal14acglcgalgluside_hs[e]","Lacto-N-fucopentaosyl III ceramide","C50H89N2O26FULLRCO"
"fucgalfucgalacglcgalgluside_hs[e]","(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1","C62H109N2O35FULLRCO"
"fucgalgbside_hs[e]","fucosyl galactosylgloboside","C56H99N2O31FULLRCO"
"fuc_L[e]","L-fucose","C6H12O5"
"gal[e]","D-Galactose","C6H12O6"
"galacglcgalgbside_hs[e]","Gal-GlcNAc-Gal globoside","C64H112N3O37FULLRCO"
"galfuc12gal14acglcgalgluside_hs[e]","(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1","C56H99N2O31FULLRCO"
"galfucgalacglcgal14acglcgalgluside_hs[e]","(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1","C70H122N3O41FULLRCO"
"galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e]","(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1","C96H165N4O60FULLRCO"
"galgalgalthcrm_hs[e]","Gal-Gal-Gal-Gal-Gal-Glc-Cer","C54H96NO32FULLRCO"
"gam[e]","D-Glucosamine","C6H14NO5"
"gbside_hs[e]","globoside","C44H79N2O22FULLRCO"
"gchola[e]","glycocholate","C26H43NO6"
"gd1b2_hs[e]","GD1beta","C66H111N4O38FULLRCO"
"gd1c_hs[e]","GD1c","C66H111N4O38FULLRCO"
"gdp[e]","GDP","C10H12N5O11P2"
"gluala[e]","5-L-Glutamyl-L-alanine","C8H13N2O5"
"glyb[e]","glycine betaine","C5H11NO2"
"glyc[e]","Glycerol","C3H8O3"
"glyc_S[e]","(S)-Glycerate","C3H5O4"
"glygn5[e]","glycogen, structure 5 (glycogenin-2[1,4-Glc])","C12H21O11X"
"gmp[e]","GMP","C10H12N5O8P"
"gp1c_hs[e]","GP1c","C99H159N7O62FULLRCO"
"gp1calpha_hs[e]","GP1c alpha","C99H159N7O62FULLRCO"
"gq1b_hs[e]","GQ1b","C88H143N6O54FULLRCO"
"gq1balpha_hs[e]","GQ1balpha","C88H143N6O54FULLRCO"
"gsn[e]","Guanosine","C10H13N5O5"
"gt1a_hs[e]","GT1a","C77H127N5O46FULLRCO"
"gthox[e]","Oxidized glutathione","C20H30N6O12S2"
"gthrd[e]","Reduced glutathione","C10H16N3O6S"
"gtp[e]","GTP","C10H12N5O14P3"
"gua[e]","Guanine","C5H5N5O"
"h2o2[e]","Hydrogen peroxide","H2O2"
"ha[e]","hyaluronan","C28H40N2O22"
"ha_pre1[e]","hyaluronan biosynthesis, precursor 1","C14H20NO11"
"hcoumarin[e]","umbelliferone","C9H6O3"
"hdca[e]","Hexadecanoate (n-C16:0)","C16H31O2"
"hdcea[e]","Hexadecenoate (n-C16:1)","C16H29O2"
"hestratriol[e]","4,17 dihydroxy estradiol","C18H24O3"
"hexc[e]","cerotate","C26H51O2"
"his_L[e]","L-histidine","C6H9N3O2"
"hista[e]","histamium","C5H10N3"
"hom_L[e]","L-homoserine","C4H9NO3"
"hpdca[e]","margarate","C17H33O2"
"hspg[e]","heparan sulfate proteoglycan","C79H113N5O101S12X"
"htaxol[e]","6 alpha hydroxy taxol/ 6 alpha hydroxy paclitaxel","C47H31NO15"
"hxan[e]","Hypoxanthine","C5H4N4O"
"idp[e]","IDP(3-)","C10H11N4O11P2"
"ile_L[e]","L-isoleucine","C6H13NO2"
"imp[e]","IMP","C10H11N4O8P"
"inost[e]","myo-inositol","C6H12O6"
"ksi[e]","keratan sulfate I","C247H393N17O213S12X"
"ksi_deg1[e]","keratan sulfate I, degradation product 1","C241H383N17O209S12X"
"ksii_core2[e]","keratan sulfate II (core 2-linked)","C81H129N6O67S3X"
"ksii_core4[e]","keratan sulfate II (core 4-linked)","C89H142N7O72S3X"
"lac_L[e]","(S)-lactate","C3H5O3"
"lcts[e]","Lactose","C12H22O11"
"leuktrA4[e]","leukotriene A4(1-)","C20H29O3"
"leuktrB4[e]","leukotriene B4(1-)","C20H31O4"
"leuktrC4[e]","leukotriene C4(2-)","C30H45N3O9S"
"leuktrD4[e]","Leukotriene D4","C25H39N2O6S"
"leuktrE4[e]","leukotriene E4(1-)","C23H36NO5S"
"leuktrF4[e]","leukotriene F4","C28H42N2O8S"
"leu_L[e]","L-leucine","C6H13NO2"
"lgnc[e]","lignocerate","C24H47O2"
"limnen[e]","limonene","C10H16"
"lipoate[e]","lipoate","C8H14O2S2"
"lneldc[e]","linoelaidic acid (all trans C18:2)","C18H31O2"
"lnlc[e]","linoleate","C18H31O2"
"lnlnca[e]","alpha-linolenate","C18H29O2"
"lnlncg[e]","gamma-linolenate","C18H29O2"
"lpchol_hs[e]","lysophosphatidylcholine","C8H19NO5PFULLRCO2"
"mag_hs[e]","monoacylglycerol 2","C3H7O2FULLR2CO2"
"malt[e]","Maltose","C12H22O11"
"malttr[e]","maltotriose","C18H32O16"
"man[e]","D-Mannose","C6H12O6"
"meoh[e]","methanol","CH4O1"
"mepi[e]","Metanephrine","C10H16NO3"
"mercplaccys[e]","3-mercaptolactate-cysteine disulfide","C6H10O5S2N"
"met_L[e]","L-methionine","C5H11NO2S"
"mthgxl[e]","methylglyoxal","C3H4O2"
"n2m2nmasn[e]","N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R","C58H96N5O40X"
"nac[e]","Nicotinate","C6H4NO2"
"nad[e]","Nicotinamide adenine dinucleotide","C21H26N7O14P2"
"nadp[e]","Nicotinamide adenine dinucleotide phosphate","C21H25N7O17P3"
"ncam[e]","Nicotinamide","C6H6N2O"
"nifedipine[e]","nifedipine","C17H18N2O6"
"no[e]","Nitric oxide","NO"
"npthl[e]","naphthalene","C10H8"
"nrpphr[e]","Norepinephrine","C8H12NO3"
"nrpphrsf[e]","Sulfate derivative of norepinephrine","C8H11NO6S"
"nrvnc[e]","nervonate","C24H45O2"
"o2[e]","O2","O2"
"o2s[e]","superoxide","O2"
"oagd3_hs[e]","9-O-Acetylated GD3","C54H90N3O29FULLRCO"
"oagt3_hs[e]","9-O-Acetylated GT3","C65H106N4O37FULLRCO"
"ocdca[e]","octadecanoate (n-C18:0)","C18H35O2"
"ocdcea[e]","octadecenoate (n-C18:1)","C18H33O2"
"octa[e]","octanoate (n-C8:0)","C8H15O2"
"omeprazole[e]","omeprazole","C17H19N3O3S"
"onpthl[e]","naphthalene epoxide","C10H8O"
"orn[e]","Ornithine","C5H13N2O2"
"paf_hs[e]","1-alkyl 2-acteylglycerol 3-phosphocholine","C11H23O4NPFULLRCO2"
"pchol_hs[e]","Phosphatidylcholine","C8H18NO4PFULLRCO2FULLR2CO2"
"pe_hs[e]","phosphatidylethanolamine","C5H12NO4PFULLRCO2FULLR2CO2"
"peplys[e]","Peptidyl-L-lysine","XH"
"perillyl[e]","perillyl alcohol","C10H16O"
"pglyc_hs[e]","phosphatidylglycerol(1-)","C6H12O6PFULLRCO2FULLR2CO2"
"pheacgln[e]","(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate","C13H16N2O4"
"phe_L[e]","L-phenylalanine","C9H11NO2"
"pheme[e]","Protoheme","C34H30FeN4O4"
"phyQ[e]","phylloquinone","C31H46O2"
"phyt[e]","phytanate","C20H39O2"
"pnto_R[e]","(R)-Pantothenate","C9H16NO5"
"ppa[e]","propionate","C3H5O2"
"prgstrn[e]","progesterone","C21H30O2"
"pro_D[e]","D-proline","C5H9NO2"
"pro_L[e]","L-proline","C5H9NO2"
"prostgd2[e]","prostaglandin D2(1-)","C20H31O5"
"prostge1[e]","prostaglandin E1(1-)","C20H33O5"
"prostge2[e]","prostaglandin E2(1-)","C20H31O5"
"prostgf2[e]","prostaglandin F2alpha(1-)","C20H33O5"
"ps_hs[e]","phosphatidylserine","C6H11NO6PFULLRCO2FULLR2CO2"
"ptdca[e]","pentadecanoate","C15H29O2"
"pydam[e]","Pyridoxamine","C8H13N2O2"
"pydx[e]","Pyridoxal","C8H9NO3"
"pydxn[e]","Pyridoxine","C8H11NO3"
"pyr[e]","pyruvate","C3H3O3"
"rbt[e]","D-ribitol","C5H12O5"
"retfa[e]","fatty acid retinol","C20H29OFULLR2CO"
"retinol[e]","retinol","C20H30O"
"retinol_9_cis[e]","9-cis-retinol","C20H30O"
"retinol_cis_11[e]","11-cis-retinol","C20H30O"
"retn[e]","all-trans-retinoate","C20H27O2"
"retnglc[e]","retinoyl glucuronide","C26H35O8"
"rib_D[e]","D-ribose","C5H10O5"
"ribflv[e]","Riboflavin","C17H20N4O6"
"Rtotal[e]","R total","CO2FULLR"
"Rtotal2[e]","R total 2 position","CO2FULLR2"
"Rtotal3[e]","R total 3 position","CO2FULLR3"
"s2l2fn2m2masn[e]","PA6","C90H145N6O65X"
"s2l2n2m2masn[e]","de-Fuc form of PA6","C84H135N6O61X"
"sarcs[e]","Sarcosine","C3H7NO2"
"sel[e]","selenate","O4Se"
"ser_D[e]","D-serine","C3H7NO3"
"sl_L[e]","(S)-3-sulfonatolactate(2-)","C3H4O6S"
"so4[e]","sulfate","O4S"
"spc_hs[e]","sphingosylphosphorylcholine","C23H50N2O5P"
"sph1p[e]","(2S,3R)-2-azaniumyl-3-hydroxyoctadecyl phosphate","C18H39NO5P"
"sphs1p[e]","sphingosine 1-phosphate(1-)","C18H37NO5P"
"srtn[e]","serotonin(1+)","C10H13N2O"
"strdnc[e]","stearidonic acid C18:4, n-3","C18H27O2"
"succ[e]","Succinate","C4H4O4"
"sucr[e]","Sucrose","C12H22O11"
"tag_hs[e]","triglyceride","C3H5FULLRCO2FULLR2CO2FULLR3CO2"
"tagat_D[e]","D-tagatose","C6H12O6"
"taur[e]","Taurine","C2H7NO3S"
"taxol[e]","paclitaxel","C47H31NO14"
"tchola[e]","taurocholate","C26H45NO7S"
"tcynt[e]","thiocyanate","CNS"
"tdchola[e]","taurochenodeoxycholate","C26H45NO6S"
"tethex3[e]","tetracosahexaenoic acid, n-3","C24H35O2"
"tetpent3[e]","tetracosapentaenoic acid, n-3","C24H37O2"
"tetpent6[e]","tetracosapentaenoic acid, n-6","C24H37O2"
"tettet6[e]","tetracosatetraenoic acid n-6","C24H39O2"
"thf[e]","5,6,7,8-Tetrahydrofolate","C19H21N7O6"
"thm[e]","Thiamin","C12H17N4OS"
"thmmp[e]","Thiamin monophosphate","C12H16N4O4PS"
"thmtp[e]","thiamine(1+) triphosphate(4-)","C12H16N4O10P3S"
"thym[e]","Thymine","C5H6N2O2"
"thymd[e]","Thymidine","C10H14N2O5"
"thyox_L[e]","L-thyroxine","C15H11I4NO4"
"tmndnc[e]","timnodonic acid C20:5, n-3","C20H29O2"
"tolbutamide[e]","tolbutamide","C12H18N2O3S"
"tre[e]","Trehalose","C12H22O11"
"triodthy[e]","3,3',5-triiodo-L-thyronine","C15H12I3NO4"
"triodthysuf[e]","Triiodothyronine sulfate","C15H11I3NO7S"
"trp_L[e]","L-tryptophan","C11H12N2O2"
"tststerone[e]","testosterone","C19H28O2"
"tststeroneglc[e]","testosterone 3-glucosiduronic acid","C25H36O8"
"tststerones[e]","testosterone sulfate","C19H27O5S"
"tsul[e]","thiosulfate(2-)","O3S2"
"ttdca[e]","tetradecanoate (n-C14:0)","C14H27O2"
"txa2[e]","thromboxane A2(1-)","C20H31O5"
"tymsf[e]","Tyramine O-sulfate","C8H11NO4S"
"Tyr_ggn[e]","Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis)","XOH"
"tyr_L[e]","L-tyrosine","C9H11NO3"
"udp[e]","UDP","C9H11N2O12P2"
"ump[e]","UMP","C9H11N2O9P"
"ura[e]","uracil","C4H4N2O2"
"urate[e]","Urate","C5H4N4O3"
"urea[e]","Urea","CH4N2O"
"uri[e]","Uridine","C9H12N2O6"
"utp[e]","UTP","C9H11N2O15P3"
"vacc[e]","trans-vaccenate","C18H33O2"
"val_L[e]","L-valine","C5H11NO2"
"vitd2[e]","vitamin D2","C28H44O"
"vitd3[e]","calciol","C27H44O"
"whddca[e]","omega hydroxy dodecanoate (n-C12:0)","C12H23O3"
"whhdca[e]","omega hydroxy hexadecanoate (n-C16:0)","C16H31O3"
"whtststerone[e]","w hydroxy testosterone","C19H28O3"
"whttdca[e]","omega hydroxy tetradecanoate (n-C14:0)","C14H27O3"
"xolest_hs[e]","cholesterol ester","C27H45XCO2"
"xolest2_hs[e]","cholesterol ester","C27H45FULLR2CO2"
"xoltri24[e]","(24S)-7alpha,24-dihydroxycholesterol","C27H46O3"
"xoltri25[e]","7alpha,25-dihydroxycholesterol","C27H46O3"
"xoltri27[e]","7alpha,26-dihydroxycholesterol","C27H46O3"
"xyl_D[e]","aldehydo-D-xylose","C5H10O5"
"xylt[e]","xylitol","C5H12O5"
"f1a[g]","F1alpha","C22H37N2O15X"
"f1a[l]","F1alpha","C22H37N2O15X"
"fuc1p_L[c]","L-Fucose 1-phosphate","C6H11O8P"
"gdpfuc[c]","GDP-L-fucose(2-)","C16H23N5O15P2"
"gdpfuc[g]","GDP-L-fucose(2-)","C16H23N5O15P2"
"n2m2masn[g]","((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)","C50H83N4O35X"
"fn2m2masn[g]","N4-{N-Acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-[alpha-L-fucosyl-(1,6)]-N-acetyl-beta-D-glucosaminyl}asparagine","C56H93N4O39X"
"gdp[g]","GDP","C10H12N5O11P2"
"ddcaACP[c]","Dodecanoyl-ACP (n-C12:0ACP)","C23H43N2O8PRS"
"ddca[c]","laurate","C12H23O2"
"myrsACP[c]","Myristoyl-ACP (n-C14:0ACP)","C25H47N2O8PRS"
"ttdca[c]","tetradecanoate (n-C14:0)","C14H27O2"
"tdeACP[c]","cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)","C25H45N2O8PRS"
"ttdcea[c]","tetradecenoate (n-C14:1)","C14H25O2"
"palmACP[c]","Palmitoyl-ACP (n-C16:0ACP)","C27H51N2O8PRS"
"hdca[c]","Hexadecanoate (n-C16:0)","C16H31O2"
"hdeACP[c]","cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)","C27H49N2O8PRS"
"hdcea[c]","Hexadecenoate (n-C16:1)","C16H29O2"
"ocdcaACP[c]","Octadecanoyl-ACP (n-C18:0ACP)","C29H55N2O8PRS"
"ocdca[c]","octadecanoate (n-C18:0)","C18H35O2"
"octeACP[c]","cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)","C29H53N2O8PRS"
"ocdcea[c]","octadecenoate (n-C18:1)","C18H33O2"
"lnlcACP[c]","linoleic acid ACP (all cis)","C29H51N2O8PRS"
"lnlc[c]","linoleate","C18H31O2"
"lneldcACP[c]","linoelaidic acid ACP (all trans)","C29H51N2O8PRS"
"lneldc[c]","linoelaidic acid (all trans C18:2)","C18H31O2"
"ocdcyaACP[c]","Octadecynoyl-ACP (n-C18:2ACP)","C29H51N2O8PRS"
"ocdcya[c]","octadecadienoate (n-C18:2)","C18H31O2"
"ptdca[c]","pentadecanoate","C15H29O2"
"ptdcacoa[c]","pentadecanoyl Coenzyme A","C36H60N7O17P3S"
"hpdca[c]","margarate","C17H33O2"
"hpdcacoa[c]","heptadecanoyl coa","C38H64N7O17P3S"
"vacc[c]","trans-vaccenate","C18H33O2"
"lnlncg[c]","gamma-linolenate","C18H29O2"
"lnlnca[c]","alpha-linolenate","C18H29O2"
"strdnc[c]","stearidonic acid C18:4, n-3","C18H27O2"
"pristcoa[c]","pristanoyl coa","C40H68N7O17P3S"
"tmndnc[c]","timnodonic acid C20:5, n-3","C20H29O2"
"phyt[c]","phytanate","C20H39O2"
"phytcoa[c]","phytanoyl-CoA(4-)","C41H70N7O17P3S"
"lgnc[c]","lignocerate","C24H47O2"
"nrvnc[c]","nervonate","C24H45O2"
"tettet6[c]","tetracosatetraenoic acid n-6","C24H39O2"
"tetpent6[c]","tetracosapentaenoic acid, n-6","C24H37O2"
"tetpent3[c]","tetracosapentaenoic acid, n-3","C24H37O2"
"tethex3[c]","tetracosahexaenoic acid, n-3","C24H35O2"
"hexc[c]","cerotate","C26H51O2"
"octa[c]","octanoate (n-C8:0)","C8H15O2"
"occoa[c]","Octanoyl-CoA (n-C8:0CoA)","C29H46N7O17P3S"
"whddca[c]","omega hydroxy dodecanoate (n-C12:0)","C12H23O3"
"whttdca[c]","omega hydroxy tetradecanoate (n-C14:0)","C14H27O3"
